refdate,pm10
2012-08-24,33.0000000
2012-08-25,34.0000000
2012-08-26,25.0000000
2012-08-27,25.0000000
2012-08-28,30.0000000
2012-08-29,32.0000000
2012-08-30,43.0000000
2012-08-31,28.0000000
2012-09-01,19.0000000
2012-09-02,28.0000000
2012-09-03,21.0000000
2012-09-04,30.0000000
2012-09-05,41.0000000
2012-09-06,52.0000000
2012-09-07,49.0000000
2012-09-08,44.0000000
2012-09-09,32.0000000
2012-09-10,38.0000000
2012-09-11,33.0000000
2012-09-12,25.0000000
2012-09-13,11.0000000
2012-09-14,23.0000000
2012-09-15,31.0000000
2012-09-16,31.0000000
2012-09-17,35.0000000
2012-09-18,43.0000000
2012-09-19,53.0000000
2012-09-20,21.0000000
2012-09-21,27.0000000
2012-09-22,37.0000000
2012-09-23,46.0000000
2012-09-24,38.0000000
2012-09-25,42.0000000
2012-09-26,33.0000000
2012-09-27,26.0000000
2012-09-28,37.0000000
2012-09-29,35.0000000
2012-09-30,41.0000000
2012-10-01,29.0000000
2012-10-02,28.0000000
2012-10-03,31.0000000
2012-10-04,25.0000000
2012-10-05,39.0000000
2012-10-06,31.0000000
2012-10-07,23.0000000
2012-10-08,29.0000000
2012-10-09,33.0000000
2012-10-10,52.0000000
2012-10-11,44.0000000
2012-10-12,36.0000000
2012-10-13,47.0000000
2012-10-14,29.0000000
2012-10-15,24.0000000
2012-10-16,36.0000000
2012-10-17,50.0000000
2012-10-18,68.0000000
2012-10-20,72.0000000
2012-10-21,72.0000000
2012-10-22,91.0000000
2012-10-23,78.0000000
2012-10-24,68.0000000
2012-10-25,79.0000000
2012-10-26,61.0000000
2012-10-27,19.0000000
2012-10-28,19.0000000
2012-10-29,30.0000000
2012-10-30,40.0000000
2012-10-31,41.0000000
2012-11-01,12.0000000
2012-11-02,41.0000000
2012-11-03,40.0000000
2012-11-04,32.0000000
2012-11-05,21.0000000
2012-11-06,45.0000000
2012-11-07,55.0000000
2012-11-08,59.0000000
2012-11-09,46.0000000
2012-11-10,76.0000000
2012-11-11,11.0000000
2012-11-12,37.0000000
2012-11-13,50.0000000
2012-11-14,45.0000000
2012-11-15,59.0000000
2012-11-16,65.0000000
2012-11-17,68.0000000
2012-11-18,61.0000000
2012-11-19,51.0000000
2012-11-20,62.0000000
2012-11-21,71.0000000
2012-11-22,74.0000000
2012-11-23,94.0000000
2012-11-24,90.0000000
2012-11-25,94.0000000
2012-11-26,137.0000000
2012-11-27,60.0000000
2012-11-28,2.0000000
2012-11-29,19.0000000
2012-11-30,15.0000000
2012-12-01,24.0000000
2012-12-02,43.0000000
2012-12-03,44.0000000
2012-12-04,49.0000000
2012-12-05,69.0000000
2012-12-06,52.0000000
2012-12-07,25.0000000
2012-12-08,48.0000000
2012-12-09,48.0000000
2012-12-10,85.0000000
2012-12-11,67.0000000
2012-12-12,65.0000000
2012-12-13,92.0000000
2012-12-14,66.0000000
2012-12-15,43.0000000
2012-12-16,37.0000000
2012-12-17,55.0000000
2012-12-18,34.0000000
2012-12-19,54.0000000
2012-12-20,55.0000000
2012-12-21,69.0000000
2012-12-22,42.0000000
2012-12-23,42.0000000
2012-12-24,69.0000000
